id,page,chapter,title,year,month,day,hour,sex,person,yongsin,conf
V4S-023,279,第六 食神格,例 아 水木假傷官格,庚子,己丑,壬寅,辛亥,男,,寅木 假傷官(泄); 忌 金運,A
V4S-024,293,第七 傷官格,例 가 眞傷官格(夭壽),己巳,庚午,甲午,己巳,男,,(眞傷官 火旺 → 忌 火運),A
V4S-026,294,第七 傷官格,例 나 假傷官格(溺死),壬辰,辛亥,乙亥,丙子,男,,丙火 假傷官(泄印),A
V4S-027,295,第七 傷官格,例 다 眞傷官用印格(坤命),戊寅,丁巳,丙戌,乙未,女,,印綬 乙木,B
V4S-028,296,第七 傷官格,例 라 眞傷官用印格,戊午,己未,丙戌,己亥,男,,印綬 木(亥未木局); 喜 亥水,A
V4S-029,297,第七 傷官格,例 마 假傷官格,戊子,乙卯,丁巳,丁未,男,,"戊土 假傷官(泄); 病 木, 藥 金",A
V4S-030,299,第七 傷官格,例 바 眞傷官用印格(坤命),辛丑,丙申,己丑,庚午,女,,丙火 印綬,A
V4S-031,301,第七 傷官格,例 사 假傷官格,丙寅,庚子,壬子,辛亥,男,,木 假傷官(寅亥); 病 庚辛金,A
V4S-032,302,第七 傷官格,例 아 假傷官格(戊臨未月),乙巳,癸未,戊辰,癸丑,男,,金 假傷官(巳丑暗金),A
V4S-034,304,第七 傷官格,例 자 木火通明格(從傷官財格),甲午,丙寅,乙丑,癸未,男,,火 傷官(從火土); 病 癸水,A
V4S-035,305,第七 傷官格,例 차 制過傷官格(眞傷官 變 假傷官格),壬子,丁未,乙亥,丁亥,男,,"丁火 傷官; 病 壬水, 藥 戊土",A
V4S-036,306,第七 傷官格,例 카 土有餘木火不足格(假傷官 變 眞傷官)-坤命,己丑,己巳,丁丑,己酉,女,,"木(印, 補身·制土)",A
V4S-037,307,第七 傷官格,例 타 水清金白格·印綬用食傷格(亥中甲木 用神),丙子,丁酉,壬申,辛亥,男,,亥中甲木(食神),A
V4S-038,308,第七 傷官格,例 파 傷官用印格(假變眞 行傷官運 必滅例),戊申,丁巳,己卯,庚午,男,저자 妹兄(故人),午火 印綬; 病 申金(傷官),A
V4S-039,311,第七 傷官格,爐邊閑談 — 金善澄 先生 감정 일화(친구 명조),丙辰,辛丑,壬申,壬寅,男,,,A
V4S-041,315,第七 傷官格,(가) 傷官用印格 例 其一,己丑,辛未,丙寅,己丑,男,,寅中甲木 印綬,A
V4S-042,316,第七 傷官格,(가) 傷官用印格 例 其二,辛酉,丁酉,戊午,辛酉,男,,丁午火 印綬,A
V4S-043,317,第七 傷官格,(나) 傷官用財格 例 其一,丙申,戊戌,丁卯,乙巳,男,,申金 財,A
V4S-044,318,第七 傷官格,(나) 傷官用財格 例 其二,癸亥,乙卯,壬申,乙巳,男,,巳中丙火 財,A
V4S-045,319,第七 傷官格,(다) 傷官用劫格 例 其一,癸亥,辛酉,戊申,己未,男,,己未 比劫,A
V4S-046,320,第七 傷官格,(다) 傷官用劫格 例 其二,戊辰,庚申,己酉,癸酉,男,,戊土 比劫,A
V4S-048,322,第七 傷官格,(라) 傷官用傷官格 例 其一,庚辰,己卯,壬辰,庚子,男,,卯木 傷官,A
V4S-049,323,第七 傷官格,(라) 傷官用傷官格 例 其二,庚申,丁亥,癸未,甲寅,男,,甲木 傷官; 病 庚申金,A
V4S-050,324,第七 傷官格,(라) 傷官用傷官格 例 其三,己卯,庚午,甲寅,丁卯,男,,丁火 傷官,A
V4S-051,325,第七 傷官格,(마) 傷官用官格 例 其一,壬戌,己酉,戊戌,乙卯,男,,乙卯 官,A
V4S-052,326,第七 傷官格,(마) 傷官用官格 例 其二,庚午,己卯,壬申,己酉,男,,己土 官; 喜 午火,A
V4S-053,327,第七 傷官格,(마) 傷官用官格 例 其三,辛未,辛卯,壬辰,己酉,男,,己土 官,A
V4S-054,328,第七 傷官格,(마) 傷官用官格 例 其四,癸酉,己未,丙午,癸巳,男,,"癸水 官; 病 己土, 藥 木",A
V4S-055,330,第七 傷官格,(바) 假傷官格 例 其一,戊申,戊午,丁巳,乙巳,男,,申金 財(假傷官 戊土 經由),A
V4S-056,331,第七 傷官格,(바) 假傷官格 例 其二,壬子,辛亥,壬子,癸卯,男,,卯木 假傷官,A
V4S-057,332,第七 傷官格,(바) 假傷官格 例 其三,壬辰,壬子,壬子,癸卯,男,,卯木 假傷官,A
V4S-058,333,第七 傷官格,(바) 假傷官格 例 其四,丁丑,丙午,己酉,辛未,男,,辛金 假傷官(酉丑),A
V4S-060,344,第八 襍氣財官格,例 가 襍氣財官格,甲子,丁丑,戊午,癸丑,男,,癸水 財,A
V4S-061,345,第八 襍氣財官格,例 나 襍氣官用印格(殺印相生格),己酉,丁丑,壬辰,甲辰,男,,印綬 金(酉丑); 病 丁火,A
V4S-062,346,第八 襍氣財官格,例 다 襍氣印綬用傷官格,戊辰,己未,辛未,戊子,男,崔碩信 少將(육군),水 傷官(子辰),A
V4S-063,347,第八 襍氣財官格,例 라 襍氣印綬用財格,丙寅,戊戌,辛酉,戊子,男,,寅木 財,A
V4S-064,348,第八 襍氣財官格,例 마 襍氣財官用官格,己卯,辛未,壬寅,辛亥,男,,己土 官; 病 木,A
V4S-065,349,第八 襍氣財官格,例 바 襍氣財官用財格,丁丑,癸丑,己酉,戊辰,男,,癸水 財,A
V4S-066,350,第八 襍氣財官格,例 사 襍氣財官格-坤命,丙子,戊戌,壬午,戊申,女,尚書(部長官) 夫人,戊土 官殺,A
V4S-067,351,第八 襍氣財官格,例 아 襍氣財官格-坤命,癸酉,乙丑,壬午,己巳,女,李錫濟 前 總務處長官 夫人,火 財 → 財生官,B
V4S-071,365,第九 羊刃格,例 가 羊刃格(殺刃相停),癸未,乙卯,甲子,己巳,男,陸軍 將軍(悲慘死),巳中庚金 殺(殺刃相停),A
V4S-072,366,第九 羊刃格,例 나 權刃雙顯格,己亥,癸酉,庚午,戊寅,男,,殺(寅午火)·食神 亥水 制殺,A
V4S-073,367,第九 羊刃格,例 다 殺刃相停格,庚申,己卯,甲寅,丁卯,男,,庚金 七殺,A
V4S-074,367,第九 羊刃格,例 라 印旺官旺格(陽刃用印·官印相生),戊午,戊午,戊午,甲寅,男,,甲木 官殺(印化),A
V4S-075,368,第九 羊刃格,例 마 權刃相停格(非命橫死),乙卯,丁亥,壬戌?,戊子?,男,,殺刃相停(金水運 喜),C
V4S-076,369,第九 羊刃格,例 바 殺刃相停格(看印格) — 投身自殺,辛酉,甲午,戊午,甲寅,男,,午中丁火 印(殺刃相停),A
V4S-077,370,第九 羊刃格,例 사 忌物除去格,壬申,壬子,戊午,乙卯,男,,午中丁火·己土(印刃 扶身); 忌 子水,A
V4S-078,372,第九 羊刃格,例 아 羊刃用財格,戊寅,乙卯,甲戌,甲子,男,,戊土 財(火土),A
V4S-079,373,第九 羊刃格,例 자 羊刃格(無官無財 兄에게 매맞아 死),戊寅,乙卯,甲子,甲子,男,,"(無官 — 戊土財 미약, 用神 無)",B
V4S-080,374,第九 羊刃格,例 차 羊刃格(日刃格),甲午,丁卯,戊午,戊午,男,,火 印(丁·午 刃印) 扶身,A
V4S-081,375,第九 羊刃格,例 카 羊刃合去殺格,壬寅,丁未,丙寅,壬辰,男,首相,壬水 殺; 喜 金水,A
V4S-082,376,第九 羊刃格,例 타 羊刃合殺格(對照例 — 門前乞食),壬寅,丁未,丙申,壬辰,男,,木 印綬; 忌 金水,A
V4S-086,386,第十 建祿格,例 가 年支建祿格(喜見財官例),戊子,戊午,癸丑,庚申,男,,財官(戊午),B
V4S-087,386,第十 建祿格,例 나 月令建祿格(喜見財官例),壬申,丙午,己亥,庚午,男,丞相,財官(壬水·亥中甲木),A
V4S-088,387,第十 建祿格,例 다 月令建祿格(見殺有制例),辛丑,庚寅,甲辰,乙亥,男,丞相,火 食傷(制殺),A
V4S-089,388,第十 建祿格,例 라 月令建祿格(會殺爲凶),辛丑,辛卯,乙丑,庚辰,男,,火 制殺·水木 補身,A
V4S-090,388,第十 建祿格,例 마 月令建祿格(火少金水多),庚午,辛巳,丙申,壬辰,男,,火 比劫(幫身); 忌 金水,A
V4S-091,389,第十 建祿格,例 바 月令建祿格(身祿旺財官弱) — 例 마 時柱 對照,庚午,辛巳,丙申,乙未,男,,金 財(申),A
V4S-096,399,第十一 時上一位貴格,例 가 時上一位貴格,戊戌,甲寅,甲辰,庚午,男,尹致暎 國會副議長(內務部長官·共和黨議長署理),庚金 七殺(時上一位),A
V4S-097,400,第十一 時上一位貴格,例 나 時上一位貴格,辛未,癸巳,戊辰,甲寅,男,鄭明來 檢事(高等檢察廳),甲木 七殺(時上一位); 喜 癸水,A
V4S-098,401,第十一 時上一位貴格,例 다 時上一位貴格,癸亥,己未,戊戌,甲寅,男,金殷夏 國會議員(大辯家),甲木 七殺(時上一位); 喜 水木,A
V4S-099,402,第十一 時上一位貴格,例 라 時上一位貴格(用印格),癸亥,壬戌,戊寅,甲寅,男,某氏 道伯(40세 전 道知事),火 印綬(補身·殺印相生),A
V4S-100,403,第十一 時上一位貴格,例 마 時上一位貴格,甲辰,癸酉,庚申,丙戌,男,某 內務部長官(寅運 拜命),丙火 七殺(時上一位),A
V4S-101,404,第十一 時上一位貴格,例 바 時上一位貴格(時支 暗藏 殺),乙丑,乙酉,辛巳,甲午,男,,午中丁火 七殺,A
V4S-102,405,第十一 時上一位貴格,例 사 時上一位貴格(例 바 對照 — 年支 未),乙未,乙酉,辛巳,甲午,男,,金 比劫(補身),A
V4S-103,406,第十一 時上一位貴格,例 사 時上一位貴(去留舒配格),丁亥,壬子,辛巳,丁酉,男,,丁火 七殺(時上一位); 喜 火土,A
V4S-104,407,第十一 時上一位貴格,例 아 時上一位貴格,庚寅,壬午,戊戌,甲寅,男,尚書(部長官),甲木 七殺(時上一位); 喜 水運,A
V4S-105,408,第十一 時上一位貴格,例 자 時上一位貴格(中和妙理),壬午,庚戌,甲午,庚午,男,,"庚金 七殺(時上一位, 中和)",A
V4S-107,411,第十一 時上一位貴格,例 차 時上一位貴格(食神制殺 中和格),戊午,戊午,乙丑,辛巳,男,都尉官,"辛金 七殺(時上一位, 食神制殺 中和); 喜 水木",B
V4S-108,412,第十一 時上一位貴格,例 카 時上一位貴格(二重丙火 無妨例),乙巳,丙戌,庚戌,丙戌,男,鄭求瑛(某 大政黨 議長),丙火 七殺(時上),A
V4S-109,413,第十一 時上一位貴格,例 타 時上一位貴格,戊申,壬戌,己未,乙亥,男,財務部長官,乙木 七殺(時上一位); 喜 木運,A
V4S-113,419,第十二 年時上官星格,例 가 年時上官星格,癸亥,癸亥,乙卯,庚辰,男,某 長官(國務會議 列席),庚金 官星; 喜 土金,A
V4S-114,420,第十二 年時上官星格,例 나 時上官星格(時支 暗藏 官),癸丑,庚申,辛卯,癸巳,男,"大法官(71세 등장, 80세 壬申年 危機)",巳中丙火 官星; 喜 木火,B
V4S-115,420,第十二 年時上官星格,例 다 時上官星格(金火相停),乙巳,乙酉,庚午,丁亥,男,,丁火 官星(金火相停); 喜 金運 輔身,A
V4S-116,421,第十二 年時上官星格,例 라 時上官星格(例 다 對照 — 年支 亥),乙亥,乙酉,庚午,丁亥,男,,金 比劫(補身),A
V4S-117,422,第十二 年時上官星格,例 마 時上官星格(時支庫 虛官),辛酉,丁酉,癸卯,壬戌,男,御史 大貴 → 野人 隱退,戌中戊土 官(虛官); 病 卯木,A
V4S-118,423,第十二 年時上官星格,例 바 年時上官星格,丁未,己酉,庚申,辛巳,男,,丁火 官星; 喜 火運,A
V4S-119,424,第十二 年時上官星格,例 사 時上官星格(病藥說原理 用神法),己酉,乙亥,庚子,丁丑,男,財務部長官(75세 癸亥年 重病),"丁火 官星; 病 水, 藥 土火",A
V4S-120,424,第十二 年時上官星格,例 아 時上官星格,己未,庚午,己未,甲戌,男,"名官(大科及第, 仁德 清純)",甲木 正官(制土),A
V4S-121,425,第十二 年時上官星格,例 자 年上官星格,丙申,辛丑,庚辰,丁未,男,李起鵬 議長(國防部長官·國會議長),丙火 官星(年上); 忌 水土,B
V4S-122,427,第十二 年時上官星格,例 차 年上官星格-坤命,壬子,乙巳,丁未,乙巳,女,國防部長官 夫人,壬水 官星(夫); 喜 金水,B
V4S-126,434,第十三 時上偏財格,例 가 時上偏財格,壬子,癸丑,乙卯,癸未,男,警察 高位層 幹部,未中己土 偏財,A
V4S-127,435,第十三 時上偏財格,例 나 時上偏財格,己未,己巳,庚辰,戊寅,男,韓國銀行 部長,寅中甲木 偏財(制印),A
V4S-128,436,第十三 時上偏財格,例 다 時上偏財格,庚寅,乙酉,甲子,戊辰,男,,戊土 偏財(時上),A
V4S-129,437,第十三 時上偏財格,例 라 時上偏財格(食神生偏財) — 偏財格 例 차와 同一 명조,癸亥,乙卯,乙未,壬午,男,,未中己土 偏財(食神生財),A
V4S-130,437,第十三 時上偏財格,例 마 時上偏財格,癸卯,戊午,丁丑,辛丑,男,部長官,"辛金 偏財(時上); 病 火, 藥 水",A
V4S-131,438,第十三 時上偏財格,例 바 時上偏財格,甲午,丁丑,己未,癸酉,男,司令官,"癸水 偏財(時上); 喜 金, 病 丁火",A
V4S-132,439,第十三 時上偏財格,例 사 時上偏財格,丁亥,戊申,壬申,丙午,男,,丙火 偏財(制印); 喜 木火,A
V4S-133,440,第十三 時上偏財格,例 아 時上偏財格(傷官生財·從財),戊子,辛酉,戊申,壬子,男,知府(市長·道知事급),壬水 偏財(從財),A
V4S-134,441,第十三 時上偏財格,例 자 時上偏財格,癸未?,戊午,戊申,壬子,男,現 理事官(甲子運 部長官 예상),壬水 偏財(時上); 喜 金水,B
